protocol,ring,n,d,rho,lambda_target,pow_bits,sec_mode,hash_profile,fold,shift_power,stop_degree,ood_samples,threads,warmup,reps,commit_ms,prove_query_phase_ms,prover_total_ms,verify_ms,verifier_hashes_actual,profile_prover_total_ms,profile_prover_encode_total_ms,profile_prover_merkle_total_ms,profile_prover_transcript_total_ms,profile_prover_fold_total_ms,profile_prover_interpolate_total_ms,profile_prover_query_open_total_ms,profile_prover_ood_total_ms,profile_prover_answer_total_ms,profile_prover_quotient_total_ms,profile_prover_degree_correction_total_ms,profile_prover_accounted_total_ms,profile_prover_unaccounted_total_ms,profile_prover_total_mean_ms,profile_prover_encode_mean_ms,profile_prover_merkle_mean_ms,profile_prover_transcript_mean_ms,profile_prover_fold_mean_ms,profile_prover_interpolate_mean_ms,profile_prover_query_open_mean_ms,profile_prover_ood_mean_ms,profile_prover_answer_mean_ms,profile_prover_quotient_mean_ms,profile_prover_degree_correction_mean_ms,profile_prover_accounted_mean_ms,profile_prover_unaccounted_mean_ms,profile_verify_total_ms,profile_verify_merkle_total_ms,profile_verify_transcript_total_ms,profile_verify_query_total_ms,profile_verify_algebra_total_ms,profile_verify_accounted_total_ms,profile_verify_unaccounted_total_ms,profile_verify_total_mean_ms,profile_verify_merkle_mean_ms,profile_verify_transcript_mean_ms,profile_verify_query_mean_ms,profile_verify_algebra_mean_ms,profile_verify_accounted_mean_ms,profile_verify_unaccounted_mean_ms
"fri3","GR(2^16,486)",729,243,"1/3",128,0,"ConjectureCapacity","STIR_NATIVE",3,0,9,0,1,1,3,223.215,0.011,4149.144,370.326,24,12447.432,8706.773,684.201,2.658,2781.004,193.751,0.034,0.000,0.000,0.000,0.000,12368.422,79.010,4149.144,2902.258,228.067,0.886,927.001,64.584,0.011,0.000,0.000,0.000,0.000,4122.807,26.337,1110.977,683.449,2.575,176.863,210.715,1073.601,37.376,370.326,227.816,0.858,58.954,70.238,357.867,12.459
"fri9","GR(2^16,486)",729,243,"1/3",128,0,"ConjectureCapacity","STIR_NATIVE",9,0,9,0,1,1,3,171.440,0.008,3930.196,324.210,15,11790.589,8712.878,518.332,1.820,2419.476,79.492,0.025,0.000,0.000,0.000,0.000,11732.023,58.566,3930.196,2904.293,172.777,0.607,806.492,26.497,0.008,0.000,0.000,0.000,0.000,3910.674,19.522,972.629,517.032,1.749,336.682,94.381,949.845,22.784,324.210,172.344,0.583,112.227,31.460,316.615,7.595
"stir9to3","GR(2^16,486)",729,243,"1/3",128,0,"ConjectureCapacity","STIR_NATIVE",9,3,9,2,1,1,3,2626.703,801.892,7370.485,8240.489,33,22111.456,14759.642,820.647,6.251,2893.805,810.974,0.050,2384.237,96.972,177.206,71.402,22021.186,90.271,7370.485,4919.881,273.549,2.084,964.602,270.325,0.017,794.746,32.324,59.069,23.801,7340.395,30.090,24721.466,818.951,6.153,408.657,23821.121,25054.882,0.000,8240.489,272.984,2.051,136.219,7940.374,8351.627,0.000
