protocol,ring,n,d,rho,lambda_target,pow_bits,sec_mode,hash_profile,fold,shift_power,stop_degree,ood_samples,estimated_argument_bytes,estimated_argument_kib,estimated_verifier_hashes,transcript_challenge_count,transcript_bytes_estimated,pow_nonce_bytes,round_breakdown_json
"fri3","GR(2^16,54)",81,27,"1/3",64,0,"ConjectureCapacity","STIR_NATIVE",3,0,9,0,2016,1.969,8,3,124,0,"{""rounds"":[{""round"":0,""domain_size"":81,""bundle_count"":27,""query_count"":2,""requested_query_count"":2,""effective_query_count"":2,""cap_applied"":false,""opened_leaf_count"":2,""unique_sibling_count"":8,""round_argument_bytes"":936}],""final_polynomial_bytes"":1080}"
"fri9","GR(2^16,54)",81,27,"1/3",64,0,"ConjectureCapacity","STIR_NATIVE",9,0,9,0,2536,2.477,4,3,124,0,"{""rounds"":[{""round"":0,""domain_size"":81,""bundle_count"":9,""query_count"":2,""requested_query_count"":2,""effective_query_count"":2,""cap_applied"":false,""opened_leaf_count"":2,""unique_sibling_count"":4,""round_argument_bytes"":2104}],""final_polynomial_bytes"":432}"
"stir9to3","GR(2^16,54)",81,27,"1/3",64,0,"ConjectureCapacity","STIR_NATIVE",9,3,9,2,2936,2.867,3,8,264,0,"{""rounds"":[{""round"":0,""domain_size"":81,""bundle_count"":9,""degree_budget"":2,""requested_query_count"":2,""effective_query_count"":2,""cap_applied"":false,""query_count"":2,""ood_samples"":2,""opened_leaf_count"":2,""unique_sibling_count"":3,""fold_opening_payload_bytes"":1944,""single_point_opening_bytes"":432,""round_argument_bytes"":2504,""fill_used"":false}],""final_polynomial_bytes"":432}"
