protocol,ring,n,d,rho,lambda_target,pow_bits,sec_mode,hash_profile,soundness_model,query_policy,pow_policy,effective_security_bits,soundness_notes,fold,shift_power,stop_degree,ood_samples,threads,warmup,reps,commit_ms,prove_query_phase_ms,prover_total_ms,verify_ms,serialized_bytes_actual,serialized_kib_actual,verifier_hashes_actual,profile_prover_total_ms,profile_prover_encode_total_ms,profile_prover_merkle_total_ms,profile_prover_transcript_total_ms,profile_prover_fold_total_ms,profile_prover_interpolate_total_ms,profile_prover_query_open_total_ms,profile_prover_ood_total_ms,profile_prover_answer_total_ms,profile_prover_quotient_total_ms,profile_prover_degree_correction_total_ms,profile_prover_accounted_total_ms,profile_prover_unaccounted_total_ms,profile_prover_total_mean_ms,profile_prover_encode_mean_ms,profile_prover_merkle_mean_ms,profile_prover_transcript_mean_ms,profile_prover_fold_mean_ms,profile_prover_interpolate_mean_ms,profile_prover_query_open_mean_ms,profile_prover_ood_mean_ms,profile_prover_answer_mean_ms,profile_prover_quotient_mean_ms,profile_prover_degree_correction_mean_ms,profile_prover_accounted_mean_ms,profile_prover_unaccounted_mean_ms,profile_verify_total_ms,profile_verify_merkle_total_ms,profile_verify_transcript_total_ms,profile_verify_query_total_ms,profile_verify_algebra_total_ms,profile_verify_accounted_total_ms,profile_verify_unaccounted_total_ms,profile_verify_total_mean_ms,profile_verify_merkle_mean_ms,profile_verify_transcript_mean_ms,profile_verify_query_mean_ms,profile_verify_algebra_mean_ms,profile_verify_accounted_mean_ms,profile_verify_unaccounted_mean_ms
"fri9","GR(2^16,162)",243,81,"1/3",128,0,"ConjectureCapacity","STIR_NATIVE","engineering-heuristic-v1","auto_heuristic","fixed_bits",128,"Engineering heuristic only; auto queries follow eta-based schedule with per-round decay. | Effective security bits are reported as lambda_target - pow_bits. | GR shift/quotient/degree-correction soundness is not yet fully formalized.",9,0,9,0,8,1,3,2.282,0.004,334.890,53.563,96888,94.617,8,1004.669,823.038,7.451,0.395,98.334,68.333,0.011,0.000,0.000,0.000,0.000,997.563,7.105,334.890,274.346,2.484,0.132,32.778,22.778,0.004,0.000,0.000,0.000,0.000,332.521,2.368,160.690,7.652,0.358,76.892,71.457,156.359,4.332,53.563,2.551,0.119,25.631,23.819,52.120,1.444
"stir9to3","GR(2^16,162)",243,81,"1/3",128,0,"ConjectureCapacity","STIR_NATIVE","engineering-heuristic-v1","auto_heuristic","fixed_bits",128,"Engineering heuristic only; auto queries follow eta-based schedule with per-round decay. | Effective security bits are reported as lambda_target - pow_bits. | GR shift/quotient/degree-correction soundness is not yet fully formalized.",9,3,9,2,8,1,3,169.533,63.622,527.496,611.937,75776,74.000,17,1582.488,1091.192,9.246,1.274,156.544,67.728,0.023,185.991,19.825,28.487,7.131,1567.443,15.045,527.496,363.731,3.082,0.425,52.181,22.576,0.008,61.997,6.608,9.496,2.377,522.481,5.015,1835.811,9.230,1.256,87.889,1748.333,1846.707,0.000,611.937,3.077,0.419,29.296,582.778,615.569,0.000
