protocol,ring,n,d,rho,lambda_target,pow_bits,sec_mode,hash_profile,fold,shift_power,stop_degree,ood_samples,estimated_argument_bytes,estimated_argument_kib,estimated_verifier_hashes,transcript_challenge_count,transcript_bytes_estimated,pow_nonce_bytes,round_breakdown_json
"fri3","GR(2^16,486)",729,243,"1/3",128,22,"ConjectureCapacity","STIR_NATIVE",3,0,9,0,22312,21.789,26,7,2948,8,"{""rounds"":[{""round"":0,""domain_size"":729,""bundle_count"":243,""query_count"":2,""requested_query_count"":2,""effective_query_count"":2,""cap_applied"":false,""opened_leaf_count"":2,""unique_sibling_count"":14,""round_argument_bytes"":6312},{""round"":1,""domain_size"":243,""bundle_count"":81,""query_count"":1,""requested_query_count"":1,""effective_query_count"":1,""cap_applied"":false,""opened_leaf_count"":1,""unique_sibling_count"":7,""round_argument_bytes"":3172},{""round"":2,""domain_size"":81,""bundle_count"":27,""query_count"":1,""requested_query_count"":1,""effective_query_count"":1,""cap_applied"":false,""opened_leaf_count"":1,""unique_sibling_count"":5,""round_argument_bytes"":3108}],""final_polynomial_bytes"":9720}"
"fri9","GR(2^16,486)",729,243,"1/3",128,22,"ConjectureCapacity","STIR_NATIVE",9,0,9,0,30644,29.926,14,5,1968,8,"{""rounds"":[{""round"":0,""domain_size"":729,""bundle_count"":81,""query_count"":2,""requested_query_count"":2,""effective_query_count"":2,""cap_applied"":false,""opened_leaf_count"":2,""unique_sibling_count"":10,""round_argument_bytes"":17848},{""round"":1,""domain_size"":81,""bundle_count"":9,""query_count"":1,""requested_query_count"":1,""effective_query_count"":1,""cap_applied"":false,""opened_leaf_count"":1,""unique_sibling_count"":4,""round_argument_bytes"":8908}],""final_polynomial_bytes"":3888}"
"stir9to3","GR(2^16,486)",729,243,"1/3",128,22,"ConjectureCapacity","STIR_NATIVE",9,3,9,2,37448,36.570,14,14,3968,8,"{""rounds"":[{""round"":0,""domain_size"":729,""bundle_count"":81,""degree_budget"":26,""requested_query_count"":2,""effective_query_count"":2,""cap_applied"":false,""query_count"":2,""ood_samples"":2,""opened_leaf_count"":2,""unique_sibling_count"":9,""fold_opening_payload_bytes"":17496,""single_point_opening_bytes"":3888,""round_argument_bytes"":21704,""fill_used"":false},{""round"":1,""domain_size"":243,""bundle_count"":27,""degree_budget"":2,""requested_query_count"":1,""effective_query_count"":1,""cap_applied"":false,""query_count"":1,""ood_samples"":2,""opened_leaf_count"":1,""unique_sibling_count"":5,""fold_opening_payload_bytes"":8748,""single_point_opening_bytes"":2916,""round_argument_bytes"":11856,""fill_used"":false}],""final_polynomial_bytes"":3888}"
